JCR Cell Biology,JCR Psychopathol. & Dev. Disabilities,ACR Cell Biology,ACR Psychopathol. & Dev. Disabilities,RCR Cell Biology,RCR Psychopathol. & Dev. Disabilities
5.52,3.974,8,4,1.136521,0.858098
5.52,3.974,1,7.75,0.187928,1.409144
5.52,2.91,0,2,0,0.387764
5.52,1.97,0,1.5,0,0.348647
5.52,2.071,11.25,3.5,1.32502,0.652424
5.52,4.167,4,5.5,0.455466,0.875078
5.52,2.321,8.5,6.75,0.92186,1.853726
5.52,8.692,5,9.5,0.568593,1.583048
5.52,3.89,6.5,2.25,1.14559,0.481786
5.52,3.89,6.25,2.75,0.652846,0.415278
5.52,3.89,8.75,5.5,1.073605,1.243868
5.52,3.716,6.25,2.25,1.112669,0.253127
5.52,1.69,1.75,5.75,0.254017,1.172814
5.52,1.649,3.5,1.25,0.595688,0.224328
5.52,3.652,3.75,3.5,0.71819,0.891347
5.52,3.652,6.5,7.25,0.932898,1.60401
5.52,5.23,4.25,7.25,0.446152,1.128593
5.52,5.23,4.5,18.25,0.655231,2.975938
5.52,3.876,3,4.75,0.340671,0.92512
5.52,3.876,2,1.25,0.253129,0.265039
5.52,3.876,3.5,1.25,0.464658,0.236054
5.52,3.876,3.25,1,0.452857,0.272417
5.52,5.395,12.25,2.75,1.849178,0.548235
5.52,5.395,5.5,3.25,0.839245,0.583544
5.52,5.395,3.5,1.75,0.412378,0.305421
5.52,1.725,4.25,2,0.722411,0.732924
5.52,7.368,2.5,0.5,0.579603,0.097079
5.52,7.368,9,0.25,1.267081,0.04854
5.52,4.004,3.5,1,0.382524,0.243706
5.52,4.004,4.75,0.5,0.610761,0.098481
5.52,4.004,6,1.5,0.928993,0.328464
5.52,4.004,3.5,11,0.404551,2.107309
5.52,3.726,2.25,2.75,0.248687,0.748603
5.52,3.726,4.25,2.25,0.631773,0.75069
5.52,3.726,2.5,1.5,0.418809,0.532619
5.52,5.96,3.5,6.75,0.523122,1.339713
5.52,1.533,7.25,0.5,0.744412,0.114607
5.52,2.403,10,1.5,1.401606,0.499871
5.52,1.201,10,5.75,1.539842,1.506178
5.52,1.201,1.25,1.75,0.175947,0.475837
5.52,1.869,21,2.5,2.817282,0.413452
5.52,2.128,5.25,0.75,0.83392,0.163219
5.52,2.128,2.25,2.5,0.22247,0.57896
5.52,2.128,2.5,1.25,0.431782,0.313331
5.52,2.128,4,1.75,0.468752,0.494608
5.52,2.128,1.75,3,0.250379,0.564594
5.52,2.128,21,1.75,2.826459,0.315505
5.52,2.128,4.75,2,0.715724,0.408831
5.52,0.95,2.25,11,0.332062,3.197951
9.12,1.354,20.5,0.75,2.207778,0.237027
9.12,3.582,7,13.5,0.782018,2.383899
9.12,31.718,4.5,3.5,0.479624,0.761969
9.12,31.718,5.25,4.5,0.588946,0.882596
9.12,31.718,20,21.75,2.037167,3.601848
9.12,2.694,6,2.5,0.601284,0.529433
9.12,2.694,9,4.25,0.835647,0.609862
9.12,2.694,1.25,9,0.137011,2.096696
9.12,2.694,6.5,8,0.573946,1.897995
9.12,2.694,10.5,4.5,1.283097,0.949323
9.12,2.694,28.5,4,3.296063,1.358484
9.12,4.446,10.5,3.25,1.212953,0.832505
9.12,4.446,9.25,1.25,1.007122,0.365718
9.12,4.446,12.5,2,1.487692,0.444168
16.559,4.446,19.75,1.5,3.164276,0.192906
16.559,3.271,24,5,3.898637,0.935742
16.559,3.271,18.25,1.25,2.727647,0.200486
16.559,3.271,10.25,11.75,1.328689,2.533456
16.559,3.271,1,3,0.122176,0.630691
3.743,3.271,3.75,2.25,0.607685,0.459505
3.743,3.271,1.75,1.75,0.281163,0.382833
3.743,5.101,5.25,6.75,0.898075,1.178487
3.743,5.101,2.75,0.75,0.462443,0.134845
3.743,2.766,2.5,2.5,0.355077,0.650157
3.743,2.766,8.5,2.5,1.079667,0.683147
3.743,2.766,4,1.25,0.605179,0.246447
3.743,2.766,12.5,2.75,1.349301,0.609911
3.743,0.863,2.5,0.25,0.406314,0.143877
3.743,0.863,3.5,2.75,0.465552,0.610881
3.743,0.863,4.25,3,0.554765,1.706468
3.743,0.863,2.5,1.75,0.489019,1.158139
3.743,0.863,1.75,1.75,0.23062,1.088734
3.743,0.863,3,1.5,0.450227,1.175519
2.791,1.197,2.25,2,0.30585,0.704643
2.981,1.197,6.25,4.75,0.744284,1.762425
15.463,3.658,11.5,3.5,1.637582,0.704689
4.711,3.658,0,1.75,0,0.609489
4.711,3.348,6.25,4.25,0.936792,1.371162
4.711,3.348,1.75,1.75,0.27807,0.344387
7.452,3.348,3.5,6.5,0.482444,1.121648
7.452,3.348,6,8.75,0.791057,1.675967
7.452,3.348,4.25,4.5,0.667364,1.186408
7.452,2.032,1.5,3.25,0.219574,0.836991
7.452,2.806,6.25,5,1.038506,1.255218
7.452,2.806,9.75,1.5,1.535345,0.426944
7.452,4.211,9.25,1.25,1.441645,0.25673
7.452,4.211,11.5,1.75,1.776896,0.257938
7.452,2.641,2.75,4.75,0.367959,1.037149
7.452,2.641,8.5,3.5,1.093546,0.723519
7.452,2.641,10.75,8,1.729294,1.603151
7.452,2.641,4,0.25,0.682036,0.075483
7.452,0.792,7.5,2,1.060473,0.673269
7.452,0.792,2.75,1.5,0.334439,0.35777
7.452,1.433,5.5,2.75,0.790171,0.624262
7.452,1.433,5.5,0.25,0.751656,0.06925
7.452,4.854,11.25,4,1.624076,1.069603
7.452,4.854,2.25,9.5,0.308158,1.927818
7.452,4.854,6.25,6.5,0.902642,1.508528
7.452,4.854,15.25,5,1.5555,1.052252
7.452,4.854,10.75,4.25,1.840709,0.841365
7.452,2.5,4,2,0.513559,0.69918
7.452,2.928,11.5,28.5,1.378991,6.358383
7.452,2.928,5.25,1.5,0.799773,0.346641
7.452,2.928,3.25,2.75,0.418305,0.635694
3.647,2.896,14.25,4.75,2.511684,0.990903
4.309,17.157,5.5,0.75,0.840255,0.113185
4.649,17.157,4.5,23,0.700139,4.054282
4.649,4.371,6,9.5,1.2498,1.983204
4.649,4.867,12.5,3.5,2.333073,0.680184
4.649,4.867,6.25,6,0.883558,1.164716
4.649,4.867,4.5,4,0.661926,0.669528
4.649,4.867,4.25,7.5,0.641055,1.351703
4.003,4.867,2,3.25,0.415638,0.538438
4.003,4.867,6,12.25,1.167085,1.840974
50.017,4.867,16.25,2.5,2.152318,0.502534
9.296,4.867,7.75,4.75,0.864896,0.841162
6.493,4.867,16.5,7,2.015891,1.451994
5.709,4.867,8.75,5.25,1.17426,0.965053
5.709,4.867,2.5,3.25,0.284046,0.665641
5.709,4.867,8.5,10.25,0.922769,1.851327
5.709,4.867,3,5.5,0.315746,1.087487
5.709,4.867,31.5,3,3.909125,0.587995
5.709,4.867,1.75,6.25,0.185729,1.070964
13.385,1.452,13,2.25,1.438502,0.345673
13.385,2.081,6.25,5.5,0.615897,1.067958
13.385,4.991,42.75,4,4.427444,1.039971
13.385,2.078,8.25,1.75,1.00263,0.669537
7.119,2.078,4,2.25,0.44925,0.463636
12.817,4.74,18.75,11.75,2.514924,2.233361
12.817,4.74,12.25,9.75,1.519236,2.366108
9.34,2.947,18.5,3.5,3.013093,1.009567
3.298,2.947,5.25,9.5,0.744946,2.114
3.539,2.947,0.75,4,0.147077,1.137476
2.051,2.947,4.5,2,0.72506,0.464233
2.051,2.947,4.25,1.75,0.609234,0.497091
2.051,2.947,1.25,9.5,0.207371,2.233559
2.051,2.947,10,4,1.54203,1.203308
2.051,2.947,1.75,3.75,0.314947,0.92437
2.051,2.947,4.75,2,0.888277,0.557565
2.051,2.947,2.25,3.5,0.396722,0.775999
2.051,2.947,4.75,7,0.546225,2.004704
2.051,2.947,5,5.75,0.532671,1.764282
2.051,2.947,4,1.25,0.602112,0.218276
2.051,2.973,1.25,4.25,0.318691,0.947103
2.051,2.973,1,1.5,0.236213,0.462771
2.051,2.973,0,1.5,0,0.465346
1.411,2.973,1.5,4.25,0.194656,1.075535
1.411,2.973,3.5,1,0.585483,0.160051
1.411,2.973,1,2,0.170946,0.49761
1.411,2.973,2.5,11,0.403315,2.207538
1.411,2.973,1.25,1.5,0.190015,0.347809
1.411,2.973,0.5,6.5,0.061156,1.424872
1.411,2.973,0.75,14,0.09645,2.700061
1.411,2.973,1.5,3.75,0.272307,1.041315
2.622,2.055,2,2,0.200911,0.576333
0.784,1.387,2,2.25,0.294567,0.491409
5.108,1.794,5,2.75,0.523687,0.804428
0.551,0.933,1,0.5,0.121899,0.209848
0.551,2.691,2.333333,3.25,0.463314,0.715137
4.165,1.853,3.333333,11,0.443336,1.928956
5.622,4.605,9,14.5,1.033103,2.500923
5.622,2.658,40,1.75,6.033011,0.521188
7.554,2.658,5,7,0.510579,1.608405
7.554,5.713,3.333333,0.75,0.431303,0.147787
7.554,1.037,5.666667,0.75,0.646196,0.337912
7.554,1.037,2.333333,10.75,0.227814,2.93998
7.554,4.5,13,3.5,1.328871,0.858552
4.553,0.364,4.333333,5.25,0.675759,0.869812
12.303,3.159,4.666667,1,0.671492,0.154243
12.303,3.159,11.33333,4.75,1.166238,0.888421
12.303,4.622,6.666667,2.75,0.877416,0.474644
2.404,5.14,1.333333,9.25,0.157073,1.617887
3.833,3.648,2.666667,6.25,0.541583,1.441043
3.833,3.648,2.333333,6.75,0.599908,2.093164
3.833,3.648,0.333333,3,0.118482,0.598599
4.013,3.648,0.333333,3,0.049754,0.608911
4.013,3.648,4,1.5,0.731275,0.29467
4.013,3.648,4.333333,1.25,0.664308,0.285048
4.395,3.648,2.666667,5.25,0.406611,0.826843
3.258,3.648,2,6.75,0.320501,1.186436
3.058,3.648,7,1,1.276499,0.201412
3.731,3.648,16.33333,6.5,2.602565,1.296875
3.877,3.648,0.666667,37.5,0.138487,6.136917
1.49,3.648,6.333333,21.5,0.737364,3.5187
3.083,2.092,6,7,1.245613,1.397554
5.354,2.092,4,0.5,0.775491,0.082859
11.829,2.092,23.33333,4.5,3.558014,0.776206
2.67,2.092,0.666667,0,0.052021,0
29.875,2.124,120.6667,1.75,13.71554,0.407217
29.875,3.528,8.333333,5.75,0.81946,1.446965
29.875,6.662,62.33333,3,7.812148,0.706155
29.875,2.085,94.66667,1.5,10.77674,0.31076
29.875,1.621,6.666667,2.5,0.8002,0.764861
19.571,2.491,17,2.75,1.855639,0.565255
19.571,5.035,4.666667,2.25,0.502479,0.379154
19.571,2.034,21.66667,4,2.463654,0.838208
13.235,2.034,10.66667,1.5,1.217553,0.36573
18.17,2.034,18.33333,2.5,2.323617,0.513027
7.581,2.034,5.333333,0.75,0.928802,0.193625
7.581,2.034,12,1.25,1.930659,0.289092
7.581,5.684,16.66667,1,2.501587,0.156707
7.581,4.679,8,0.75,1.404609,0.302358
7.581,4.063,6.333333,5.25,0.9709,0.983463
4.066,4.063,1,8.5,0.112453,1.792681
4.066,1.585,5.666667,1,0.690333,0.210815
4.066,1.585,21,3.75,2.967946,1.039118
3.046,2.098,4.333333,3,1.091042,0.600997
3.859,2.098,1.333333,2.25,0.242557,0.725033
3.859,1.583,6.333333,4.25,1.714942,1.296031
7.235,1.583,7,6.25,0.909134,1.351821
2.713,1.583,1,4.5,0.126356,0.945494
2.813,1.583,3.333333,3.5,0.40418,1.188491
6.368,1.583,5.333333,34.25,0.685861,7.736537
6.829,1.583,12.66667,3.75,1.312891,0.944539
6.829,1.583,8.333333,5.25,0.905116,2.020403
6.829,1.583,1,0.5,0.131617,0.207783
2.548,1.583,1.333333,6.75,0.288078,1.288739
2.548,1.583,2,0.75,0.386292,0.20756
2.548,1.583,0.666667,2.25,0.108293,0.634507
2.548,1.583,1.333333,6.25,0.187345,1.187289
2.548,4.845,2.333333,6.75,0.37877,1.421875
2.548,4.845,1,2.5,0.178938,0.591336
4.254,4.845,2.333333,10.25,0.261289,2.291438
3.378,4.845,2.333333,4.25,0.312592,1.018178
3.378,4.845,6,3.75,0.580102,0.935811
3.378,4.845,14.66667,8.25,1.510445,1.517867
3.226,4.845,1.666667,4.75,0.173088,0.892023
3.226,4.845,1,5,0.115686,0.845984
3.226,4.845,7,2,0.968012,0.394583
3.226,4.845,3.333333,9.5,0.523413,1.6842
3.226,4.845,2,29.5,0.264596,6.179192
3.226,4.845,8,1.5,1.46573,0.294034
3.226,2.155,4.333333,0.5,0.588731,0.133048
3.226,2.625,6.666667,1.75,1.217458,0.47947
3.226,2.625,3.666667,1.75,0.392463,0.454157
3.226,2.625,3.333333,1.75,0.51417,0.513547
3.226,2.625,0.666667,18.25,0.158363,4.095084
3.226,2.625,3,2.75,0.445305,0.511495
3.226,1.676,3.333333,0.5,0.528151,0.100681
3.226,1.143,1.666667,0.75,0.199066,0.320631
3.226,14.27,3.333333,55,0.423667,8.663129
3.226,0.368,7.333333,1,0.853831,0.497581
4.35,0.812,0,2,0,0.587851
0.912,0.815,11.33333,0.5,1.642077,0.189962
4.926,0.815,5,0.75,0.446353,0.221642
4.926,4.126,1,3.5,0.063838,0.651004
1.81,4.126,4.666667,4.5,1.312195,0.717584
3.3,1.871,1.666667,4.5,0.251711,0.973383
7.365,3.449,2.333333,4.75,0.345941,1.197018
4.39,2.032,7.666667,1.75,1.246641,0.327725
4.39,3.602,5.666667,6,0.891841,1.142933
4.39,1.44,4,0.25,0.451585,0.137146
2.605,1.44,2.666667,1.5,0.413916,0.320335
10.555,1.44,8.666667,4.5,1.0152,1.013677
10.555,1.44,5,0.75,0.827869,0.162902
10.555,1.44,5,0.25,0.535009,0.137146
10.555,1.44,3.666667,0.5,0.365484,0.185851
10.555,1.44,1.666667,4,0.160043,0.676411
5.636,1.44,2.666667,1,0.299789,0.15811
5.636,1.549,2.666667,0.5,0.237308,0.262187
5.636,1.549,5.333333,2.5,0.739911,0.467617
3.29,3.452,5.666667,3.5,0.654109,0.808154
3.29,3.291,1,4.25,0.190076,0.875957
3.29,3.132,2.333333,4.75,0.342487,0.642491
3.29,12.537,6,16,0.659521,2.850907
3.759,1.578,6.666667,4.5,0.723253,1.5617
2.848,3.898,0.666667,1.25,0.066301,0.245578
2.744,31.434,4.666667,36.75,0.638271,6.07287
2.744,31.434,3.333333,1,0.647259,0.168911
2.711,6.979,1.333333,10.5,0.155816,1.93381
25.288,9.113,17,12.25,1.838801,1.474387
25.288,14.164,35.33333,22,4.018088,3.458646
2.654,14.164,3.333333,23.25,0.57894,3.616572
6,14.164,6.333333,21,0.549352,3.110069
7.543,14.164,5.666667,13.25,0.908485,2.281232
7.543,25.94,3.666667,168.25,0.442579,29.1814
7.543,25.94,9.666667,40.75,1.358593,8.455912
7.543,2.378,5.333333,1,0.763548,0.218618
7.543,2.656,3,2.5,0.324825,0.632702
31.152,2.656,7.333333,1.25,0.832139,0.185421
31.152,5.959,30.66667,2.5,3.196018,0.407074
31.152,5.959,46,14.75,4.581953,2.787965
31.152,5.959,4.666667,7.25,0.510813,1.297446
31.152,5.959,79.66667,6.25,8.295176,1.181048
31.152,3.757,14,7.75,1.331604,1.350911
31.152,3.757,19.66667,1.25,2.396172,0.299136
31.152,3.757,20.33333,6.5,2.3422,1.474124
31.152,3.757,43,2.75,4.703305,0.560405
31.152,3.757,14.66667,0.5,1.371302,0.135058
31.152,3.757,12.66667,10,1.488975,2.037186
31.152,0.918,33,1.25,3.200609,0.313946
31.152,5.694,6.666667,5.25,0.770303,0.987039
31.152,5.694,54,2.5,6.618641,0.512623
31.152,5.694,17.66667,3.75,1.682755,0.708927
31.152,5.694,55.66667,5.75,6.854286,0.742044
31.152,5.694,14.33333,40.25,1.48766,6.972608
31.152,5.694,13.33333,4,1.98,0.725712
31.152,5.694,38.33333,8.5,4.464886,1.278175
31.152,5.694,26,1.75,3.042099,0.328953
31.152,5.694,14.33333,12.75,1.736829,2.178753
31.152,5.694,40.33333,5,3.858232,1.124094
31.152,5.694,36.33333,8.25,3.461965,1.40379
31.152,5.694,49.33333,4.75,5.502061,0.740087
31.152,5.694,32,7.5,3.894731,1.212328
31.152,5.694,156,0.75,18.22124,0.129417
31.152,5.694,26.66667,3.75,2.84829,0.757624
31.152,5.694,40.66667,4,3.508255,0.720843
31.152,5.694,12.33333,4,1.124868,0.774575
2.308,5.694,4.333333,4,0.638564,0.76738
3.337,5.694,14.33333,27,1.834931,4.324096
3.337,5.694,9.333333,4,1.321122,0.464825
1.8,5.694,1.666667,2.25,0.285081,0.372235
4.288,5.694,6.666667,4,1.14006,0.763295
4.087,5.694,10.66667,3,1.270032,0.523452
4.087,5.694,0.333333,0.5,0.033058,0.069957
4.087,5.694,5.666667,3.5,0.649399,0.654709
4.087,5.694,5.333333,4.25,0.565905,0.857463
4.087,5.694,0.666667,11,0.109344,2.543207
4.087,5.694,2.333333,5.25,0.255065,1.009843
4.087,5.694,2.333333,27.5,0.348134,4.852632
4.087,5.694,1.333333,7.25,0.1296,1.267069
4.087,5.694,12,4.75,1.143517,0.889986
4.087,5.694,1.333333,18.75,0.108448,3.488814
4.087,5.694,22.33333,5.75,2.585269,0.76892
4.087,5.694,2.333333,2.75,0.257125,0.442824
4.087,5.694,0.333333,6,0.037874,1.09957
8.24,5.694,5.666667,3.25,0.635286,0.626796
8.24,1.212,16.66667,8.25,2.346215,1.410299
8.24,1.212,55,14.5,7.14074,2.5213
8.24,7.043,1.666667,4.75,0.158298,0.993169
8.24,7.043,4.333333,14.25,0.522781,2.397217
17.35,7.043,13.66667,6.25,1.675332,1.089471
17.35,7.043,15.33333,6,1.707973,1.141801
8.151,7.043,3.666667,5.75,0.45364,0.95721
23.563,7.043,32.66667,0,3.035915,0
23.563,7.043,13,29,1.496921,6.515503
23.563,7.043,36.33333,7,3.349957,1.139426
23.563,7.043,1.333333,8.5,0.115888,1.963113
23.563,14.17,17,42.5,1.439626,7.210318
6.09,14.17,7.666667,0.75,1.142106,0.100445
6.09,3.383,8.333333,1.5,1.323062,0.413659
2.698,3.383,0.333333,5,0.037957,1.210602
4.094,3.383,2.666667,2.75,0.335549,0.537403
4.094,4.074,1.666667,2.5,0.183701,0.542151
4.094,4.074,1.666667,4.5,0.322086,1.041696
4.094,4.074,1,2.25,0.172613,0.472286
1.908,4.074,1.333333,6.5,0.191466,1.412832
1.908,4.074,1,7.75,0.168151,1.621704
35.957,4.074,9,1,0.890545,0.218182
2.457,4.074,2.666667,4,0.411241,0.855272
2.457,4.074,0,6.25,0,1.124911
2.457,4.074,0,2,0,0.401507
6.523,4.074,4,10.25,0.448289,1.781922
6.523,4.074,2.666667,4.25,0.34981,0.884967
2.145,4.074,1,11.5,0.189668,2.148328
14.816,4.074,5,5,0.617672,0.913745
14.816,4.074,4,2,0.533699,0.3529
9.214,4.074,22.33333,5.75,2.37328,1.106692
9.214,4.074,6,7,0.905096,1.343133
1.236,4.074,0,30.75,0,5.353563
6.747,4.074,4.333333,4.75,0.4545,0.883074
6.747,4.074,0.333333,22,0.035296,4.134552
3.863,4.074,4.333333,3.25,0.503489,0.620302
3.863,3.201,7,7.75,0.895435,1.905023
1.469,3.201,3.333333,2,0.468332,0.366542
10.216,3.201,12.33333,0.5,1.661295,0.157107
10.992,3.201,12.33333,4,1.397261,0.713913
10.992,3.201,28.66667,4,3.209418,0.921788
10.992,3.201,15,5,1.885514,1.211448
10.992,3.201,4.666667,6.25,0.537267,1.306783
10.992,3.349,5,2.25,0.569077,0.715813
10.992,3.349,11.33333,7.25,1.753185,1.38797
10.992,6.835,8,9,0.843326,1.995709
10.992,6.835,3.333333,9.25,0.314332,1.663116
10.992,6.835,10.66667,2.75,1.145444,0.535049
10.992,6.835,37.66667,11,4.262114,2.024484
10.992,6.835,12.33333,2.75,1.299467,0.50175
10.992,6.835,6.666667,11.25,0.748495,2.164709
10.992,6.835,12.33333,6.75,1.487069,1.246156
10.992,6.835,2.333333,2.75,0.215889,0.543151
10.992,1.2,4,0.75,0.524343,0.228405
10.992,3.618,11.33333,7.25,1.422042,1.597594
10.992,1.904,10.33333,2.25,0.92362,0.395463
10.992,1.904,8.666667,10.25,0.863361,1.879581
10.992,1.904,2.666667,0.25,0.279735,0.059887
10.992,1.904,11,3,1.191286,0.586794
10.992,1.904,7,7,0.829695,1.755057
10.992,3.556,6.666667,2.75,0.902192,0.508567
10.992,3.556,3.666667,2.25,0.456546,0.34031
10.992,3.556,4.333333,1.25,0.440926,0.210428
10.992,3.556,3.333333,1.75,0.351058,0.369801
10.992,3.556,11.33333,2,1.319771,0.384168
3.932,3.556,4,2,0.477965,0.495548
1.513,7.804,0.666667,5,0.13842,0.810305
14.153,2.2,5,0.75,0.679811,0.144749
14.153,2.2,6.333333,0.5,0.707435,0.119406
14.153,2.2,9.666667,2.25,1.093689,0.315465
14.153,2.2,12.66667,5.25,1.390256,1.148791
14.153,2.2,6.333333,2.25,0.715447,0.763253
14.153,2.2,17.66667,9,1.892029,1.503591
14.153,2.473,22.66667,2.25,2.784095,0.491502
8.295,2.828,3.333333,7.25,0.308469,1.130573
8.295,2.409,9,0.75,1.525127,0.205877
4.291,2.74,4.666667,13.25,0.588019,3.293441
8.987,2.539,7,13.75,0.68214,3.373149
8.987,2.539,12,2,1.273909,0.480224
8.987,2.539,16.33333,2,1.650885,0.486809
8.987,2.539,7.333333,3.75,0.736992,1.098071
8.987,2.539,2.666667,5.75,0.25434,1.34145
8.987,2.539,5,4.25,0.59036,1.040981
10.881,2.539,1.666667,31,0.181957,6.185098
10.881,4.329,5.666667,3.75,0.643407,0.764747
7.866,0.866,4,3.25,0.486103,0.635033
7.211,2.762,1.666667,10.5,0.17747,2.221571
10.333,2.762,7.333333,0.75,0.788291,0.12636
10.333,6.03,18,3.75,2.069716,0.961317
9.344,6.03,4,1.5,0.572736,0.332832
4.414,6.03,14.66667,2.5,1.843865,0.550582
5.753,2.125,20.33333,2.25,2.179505,0.450014
5.753,1.907,5,3.25,0.559039,0.357185
5.753,1.03,4.333333,0.75,0.462165,0.082702
6.489,1.36,3.333333,0,0.400407,0
7.194,1.36,5,2,0.601896,0.359448
7.194,1.36,2.666667,2,0.402159,0.452933
7.194,1.36,1,1.75,0.111043,0.314678
7.194,1.424,7.333333,1.25,1.07263,0.395476
7.194,1.424,7,0.25,0.727722,0.099451
7.194,1.424,6.666667,4,0.688134,0.843557
7.194,1.424,6.666667,1,0.889359,0.334484
7.194,1.424,4,1.5,0.426872,0.394192
7.194,1.424,2,5.75,0.282362,1.393726
7.194,1.424,0,1,0,0.359613
7.194,1.424,10.66667,3.25,1.111568,0.611254
7.194,9.443,4.333333,17.75,0.370786,3.251804
7.194,2.751,3,3.5,0.338274,0.843742
7.194,2.751,17,1,1.482997,0.257357
7.194,2.751,2.666667,3.75,0.250939,0.74306
7.194,2.751,9.666667,2.5,1.153486,0.390086
7.194,2.751,6.666667,0.25,0.717779,0.06845
7.194,2.751,4,1,0.428014,0.272562
7.194,2.751,6,2.75,0.59607,0.810821
7.194,2.751,6.666667,1.25,0.713086,0.326073
7.194,2.751,4,5.5,0.479579,1.068264
7.194,2.751,7.333333,2.75,0.804269,0.513089
7.194,2.751,3,5.25,0.322027,1.549657
7.194,5.556,2,2.5,0.1924,0.446646
7.194,5.556,1.666667,20.25,0.218939,4.233292
7.194,5.556,14.66667,21.5,1.417841,3.897696
7.194,5.556,3.333333,3.75,0.396061,0.766775
7.194,0.55,5,2,0.655449,0.436759
7.194,1.785,5.333333,4.5,0.701685,1.062614
2.146,1.691,0,1,0,0.35112
2.146,2.806,2,3.75,0.231807,0.590961
4.379,2.806,6.666667,1.75,0.596911,0.520003
4.379,2.806,2,3.75,0.209016,0.884873
4.379,2.806,4,1.5,0.63258,0.342228
4.379,2.806,3,1.25,0.349529,0.250077
4.379,2.806,2.333333,5.5,0.295593,0.976776
4.379,9.38,2,13.5,0.218278,2.449483
4.379,9.38,2.333333,7.75,0.259184,1.2739
4.379,9.38,2.666667,12.75,0.336268,2.270844
4.379,9.38,0,6.25,0,0.769935
4.379,9.38,1.666667,4.25,0.13007,0.865662
4.379,9.38,2,7.25,0.241794,1.139382
4.379,9.38,2.666667,19.75,0.370239,3.481011
4.379,9.38,4.333333,9,0.471484,1.218637
4.379,9.38,1.666667,9.5,0.138582,1.455741
4.379,9.38,3.666667,3.5,0.337293,0.550312
4.379,9.38,3,9,0.32209,1.656441
4.379,9.38,2.333333,7.5,0.244829,1.31112
4.379,9.38,11.66667,4,1.352158,0.688148
4.379,3.253,2.666667,9.75,0.284231,1.755244
4.379,3.253,2.333333,10.25,0.236133,1.736615
4.379,3.253,1.333333,13.5,0.132516,2.411285
4.379,2.638,7,4.25,0.723063,0.791193
4.379,2.638,4.666667,3.75,0.610625,0.593597
4.379,2.638,5,9.25,0.629375,1.751735
4.379,2.666,5,13,0.639418,3.043215
4.379,2.666,11.33333,1.25,1.447881,0.279024
4.379,2.666,3.666667,2.25,0.453158,0.618245
4.379,2.666,5.333333,2.5,0.420182,0.450183
4.379,2.773,2.666667,9.75,0.291802,3.01531
4.379,12.568,8.333333,12.25,0.998501,2.241824
4.379,12.568,1.666667,16.25,0.166566,4.285464
4.379,4.718,2.666667,2.5,0.268658,0.619694
4.379,4.718,3.333333,2.75,0.327678,0.682971
4.379,4.718,1.333333,4.25,0.144702,0.95906
4.379,1.754,1,1,0.158516,0.294422
13.363,11.765,2.666667,15.5,0.361645,3.581469
13.363,11.765,4.333333,13,0.610416,2.221938
13.363,11.765,170.6667,17.75,20.9708,3.469708
13.363,4.812,14.66667,3,1.751941,0.530739
13.363,4.812,7.666667,7.75,0.794694,1.364714
13.363,4.812,6,4.25,0.560827,0.950599
13.363,2.773,21,0.5,2.26077,0.190619
13.363,2.773,5.666667,1.75,0.51599,0.483898
13.363,2.773,0.333333,1.25,0.029406,0.202498
13.363,2.773,60.66667,0.75,6.703974,0.141206
13.363,2.773,7.333333,2,0.770541,0.554135
13.363,2.773,4.333333,17.5,0.437271,3.243576
13.363,3.788,13,5.75,1.436649,1.03011
13.363,3.788,3.666667,8,0.415647,1.588897
13.363,3.788,29,6.25,3.115454,1.183371
13.363,3.788,10,8,1.255773,1.709057
2.833,3.788,6.666667,15,0.785522,2.914141
2.833,3.788,6.333333,4.75,0.703585,1.11897
2.833,3.788,2.666667,6.25,0.323845,1.087264
2.833,3.788,1.333333,1.25,0.197778,0.33561
2.833,3.788,3.666667,5.5,0.558242,1.079288
2.833,2.159,0,5,0,1.675628
2.833,2.159,3.666667,2,0.425726,0.408644
2.833,2.159,1.666667,1.75,0.244511,0.428989
2.833,2.159,1.333333,4.75,0.100697,1.116978
2.833,2.159,2.666667,4.25,0.282446,1.083206
2.833,2.159,1.333333,4.5,0.142382,1.219101
2.833,2.159,2.666667,4.75,0.28443,1.016317
2.833,2.159,2,1,0.267334,0.288552
2.833,2.159,4.666667,2.75,0.565909,0.816354
2.833,2.159,6.333333,1.25,0.691309,0.364764
2.833,2.159,1.333333,2.25,0.117211,0.557785
2.833,2.159,5.666667,2,0.589427,0.607938
2.833,2.159,3,1.5,0.533091,0.369873
2.833,2.159,2,9.75,0.239021,2.426683
2.833,2.159,6,2.75,0.8612,0.535804
2.833,2.159,1.666667,1.5,0.245054,0.249559
2.833,2.159,3,2.75,0.354889,0.390347
2.732,1.417,2.666667,0.75,0.387295,0.143675
8.505,3.676,5,3.75,0.884478,0.67765
8.505,3.676,4.333333,1.25,0.691963,0.317447
4.199,3.676,3,2.5,0.287443,0.484708
1.837,3.676,3,2,0.757737,0.468382
1.837,3.676,2.333333,0.75,0.45776,0.162821
1.837,3.676,1,8.25,0.214375,1.927813
6.907,3.676,9,13.25,1.167742,3.0629
6.907,3.676,5,28.5,0.768188,5.228156
4.752,3.676,4.666667,5,0.55585,0.979498
3.806,3.676,2,1.5,0.243035,0.26501
3.314,3.676,3.666667,1,0.436315,0.148876
3.564,3.676,10,3.5,1.557421,0.816037
3.564,3.676,1.333333,3.25,0.182617,0.691463
